gene_id	cell_group	Gene.Ontology.IDs
LOC105332606	14	GO:0000976; GO:0000981; GO:0003677; GO:0005634; GO:0008270; GO:0045893; GO:0045944; GO:0048738
LOC105332606	6	GO:0000976; GO:0000981; GO:0003677; GO:0005634; GO:0008270; GO:0045893; GO:0045944; GO:0048738
LOC105319359	14	NA
LOC105322006	5	GO:0002088; GO:0005737; GO:0005829; GO:0007517; GO:0030018; GO:0030154; GO:0031672; GO:0048471; GO:0051879; GO:0061077
LOC105333225	4	GO:0000978; GO:0000981; GO:0001228; GO:0001661; GO:0001708; GO:0003677; GO:0003700; GO:0005634; GO:0006338; GO:0006357; GO:0010092; GO:0010467; GO:0010468; GO:0010975; GO:0016575; GO:0019901; GO:0021764; GO:0021902; GO:0021987; GO:0030182; GO:0030902; GO:0031490; GO:0045892; GO:0045944; GO:1902667
LOC105323125	2	GO:0001540; GO:0001784; GO:0005546; GO:0005769; GO:0005829; GO:0005883; GO:0005886; GO:0006898; GO:0008203; GO:0009898; GO:0009925; GO:0030159; GO:0030276; GO:0030301; GO:0030424; GO:0030669; GO:0031623; GO:0034383; GO:0035591; GO:0035612; GO:0035615; GO:0035650; GO:0042632; GO:0042982; GO:0043393; GO:0048260; GO:0050750; GO:0055037; GO:0071345; GO:0090118; GO:0090205; GO:1903076; GO:1904707; GO:1905581; GO:1905602
LOC105330942	13	GO:0005212; GO:0005737; GO:0005882; GO:0005886; GO:0005938; GO:0045109; GO:0048469; GO:0070307
LOC105332654	10	GO:0000122; GO:0000978; GO:0000981; GO:0002164; GO:0005634; GO:0006357; GO:0007411; GO:0016358; GO:0045664; GO:0045773; GO:0046872; GO:0048665; GO:0048856
LOC105344648	12	GO:0005783; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102756
LOC105344649	12	GO:0005783; GO:0005789; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102756
LOC105344655	9	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208
LOC105334171	7	GO:0005267; GO:0005887; GO:0006813; GO:0006937; GO:0015271; GO:0022841; GO:0030322; GO:0036195; GO:0055120; GO:0071805
LOC105337692	2	GO:0005730; GO:0006364; GO:0034511
LOC105318857	6	GO:0005634; GO:0005737; GO:0006886; GO:0031267
LOC105348570	5	GO:0005861; GO:0006937
LOC105330366	4	GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007586
LOC105333627	13	GO:0005887; GO:0016477
LOC105333630	11	GO:0005930; GO:0030175; GO:0030286; GO:0045504
LOC105333051	5	GO:0000122; GO:0000785; GO:0000977; GO:0000981; GO:0001228; GO:0001755; GO:0005634; GO:0005654; GO:0005794; GO:0006357; GO:0010718; GO:0016604; GO:0045892; GO:0045893; GO:0045944; GO:0048704; GO:1990837
LOC105319166	2	GO:0002115; GO:0005509; GO:0005737
LOC105345833	4	GO:0006147; GO:0008270; GO:0008892
LOC105343207	12	GO:0005452; GO:0005886; GO:0006814; GO:0008510; GO:0015701; GO:0016021; GO:0016323; GO:0022857; GO:0050801; GO:0051453; GO:0055085
LOC105341857	3	GO:0003723; GO:0003727; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0006397; GO:0007566; GO:0010609; GO:0016554; GO:0016556; GO:0030895; GO:0045293; GO:0050821; GO:1901537; GO:2000623
LOC105347381	1	GO:0004623; GO:0005509; GO:0005576; GO:0006644; GO:0016042; GO:0043655; GO:0050482; GO:0090729
LOC105347378	1	GO:0005737; GO:0017183; GO:0032991; GO:0051539; GO:0090560
LOC105320596	5	GO:0006511; GO:0014069; GO:0016567; GO:0031463; GO:0043005; GO:0043025; GO:0070161
LOC105320586	13	GO:0005743; GO:0005886; GO:0006814; GO:0010008; GO:0010348; GO:0015385; GO:0016021; GO:0016323; GO:0030317; GO:0030672; GO:0031966; GO:0042802; GO:0061178; GO:0070161; GO:0072583; GO:0097228; GO:0097708; GO:2001206
LOC105342897	6	GO:0000976; GO:0000978; GO:0000981; GO:0003309; GO:0003310; GO:0003311; GO:0005634; GO:0006357; GO:0031018; GO:0035774; GO:0042593; GO:0045893; GO:0045944; GO:0050796; GO:0090104
LOC105317153	3	GO:0008080
LOC105341161	3	GO:0005794; GO:0005856; GO:0016021
LOC105342289	9	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001787; GO:0001866; GO:0005634; GO:0005654; GO:0006357; GO:0016604; GO:0016605; GO:0030154; GO:0045087; GO:0045893; GO:0045944; GO:1990837
LOC105324617	14	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
LOC105324593	12	GO:0004672; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006611; GO:0007049; GO:0030295; GO:0032147; GO:0043539; GO:1902554
LOC105326681	7	GO:0003729; GO:0005634; GO:0007268; GO:0022611; GO:0035206; GO:0045202
LOC105342498	14	GO:0005634; GO:0005737; GO:0005783; GO:0006913; GO:0048471
LOC105320214	1	GO:0005509; GO:0005615; GO:0007155; GO:0008201; GO:0031012; GO:0043395; GO:0110151
LOC105334677	7	GO:0016021
LOC105326722	13	GO:0000122; GO:0004842; GO:0005634; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0030904; GO:0034314; GO:0042147; GO:0042752; GO:0045892; GO:0048511; GO:0051127; GO:0070534
LOC105323913	13	GO:0005576
LOC105326721	13	GO:0005576
LOC105319410	13	GO:0000794; GO:0003779; GO:0005863; GO:0007062; GO:0007076; GO:0007498; GO:0007520; GO:0007522; GO:0007525; GO:0008307; GO:0016203; GO:0030017; GO:0030018; GO:0031674; GO:0035206; GO:0040011; GO:0045214; GO:0051301
LOC105333510	11	GO:0005516; GO:0005737
LOC105327632	13	GO:0001530; GO:0003677; GO:0005044; GO:0005576; GO:0005615; GO:0005737; GO:0006898; GO:0006952; GO:0015031; GO:0019898; GO:0030670; GO:0030855; GO:0031012; GO:0035375; GO:0038187; GO:0042494; GO:0042589; GO:0043152; GO:0045087; GO:0048306; GO:0050829; GO:0050830; GO:0050840; GO:0051607; GO:0061844; GO:0070062; GO:0070891; GO:1904399
LOC105326272	5	GO:0005615; GO:0005886; GO:0007155; GO:0007339; GO:0016021; GO:0031012; GO:0050840; GO:2000359
LOC105321527	5	GO:0000413; GO:0003723; GO:0003755; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005788; GO:0005790; GO:0005925; GO:0006457; GO:0016018; GO:0016020; GO:0030593; GO:0032991; GO:0034663; GO:0040018; GO:0042470; GO:0043231; GO:0044794; GO:0044829; GO:0048471; GO:0050821; GO:0051082; GO:0060348; GO:0061077; GO:0070062; GO:0070063
LOC105321539	8	GO:0005975; GO:0005982; GO:0005991; GO:0009693; GO:0010364; GO:1900055
LOC105318190	6	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0019904; GO:0030154; GO:0048731
LOC105349024	8	GO:0003677; GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006281; GO:0008094; GO:0008270; GO:0016020; GO:0016363; GO:0016567; GO:0016818; GO:0031625; GO:0042789; GO:0045944; GO:0050767; GO:0061630; GO:0090575; GO:0140658
LOC105320106	2	GO:0001503; GO:0001968; GO:0002244; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005788; GO:0006357; GO:0022409; GO:0030154; GO:0030510; GO:0030514; GO:0032926; GO:0045671; GO:0045944; GO:0048185; GO:0090101
LOC105326367	10	GO:0003677; GO:0005634; GO:0006357
LOC105327296	2	GO:0005506; GO:0005737; GO:0006633; GO:0009978; GO:0016020; GO:0019369; GO:0020037; GO:0031408; GO:0047677
LOC105347275	14	GO:0000723; GO:0000781; GO:0000978; GO:0000981; GO:0003691; GO:0005634; GO:0006355; GO:0006357; GO:0008301; GO:0016233; GO:0032200; GO:0042048; GO:0042162; GO:0048665
LOC105347275	6	GO:0000723; GO:0000781; GO:0000978; GO:0000981; GO:0003691; GO:0005634; GO:0006355; GO:0006357; GO:0008301; GO:0016233; GO:0032200; GO:0042048; GO:0042162; GO:0048665
LOC105340413	4	GO:0001525; GO:0005576; GO:0016525; GO:0030218; GO:0035162; GO:0071425
LOC105348209	12	GO:0000146; GO:0000281; GO:0001701; GO:0001725; GO:0001764; GO:0001778; GO:0003279; GO:0005516; GO:0005524; GO:0005737; GO:0005819; GO:0005829; GO:0005844; GO:0005903; GO:0005938; GO:0006887; GO:0006930; GO:0007097; GO:0007155; GO:0007409; GO:0007411; GO:0007420; GO:0007507; GO:0007512; GO:0008283; GO:0008360; GO:0009898; GO:0016459; GO:0016460; GO:0021592; GO:0021670; GO:0021678; GO:0021680; GO:0030027; GO:0030036; GO:0030048; GO:0030239; GO:0030424; GO:0030426; GO:0030496; GO:0031032; GO:0031175; GO:0031594; GO:0032154; GO:0032982; GO:0035613; GO:0035904; GO:0042641; GO:0042802; GO:0043005; GO:0043025; GO:0043197; GO:0043531; GO:0048027; GO:0050714; GO:0050885; GO:0051015; GO:0051017; GO:0055003; GO:0055015; GO:0060041; GO:0060976; GO:0070650; GO:0097513; GO:0098871; GO:0098974; GO:0098978; GO:1905274
LOC105328000	11	GO:0005509; GO:0019722
LOC105328003	11	GO:0005509; GO:0005737; GO:0005856; GO:0019722; GO:0031514
LOC105328005	14	GO:0005509
LOC105328005	6	GO:0005509
LOC105328008	7	GO:0005509; GO:0019722
LOC105338027	2	GO:0000978; GO:0000981; GO:0001655; GO:0001756; GO:0005634; GO:0006357; GO:0007412; GO:0007595; GO:0008542; GO:0009653; GO:0021510; GO:0021767; GO:0021794; GO:0021855; GO:0022029; GO:0030154; GO:0030901; GO:0033504; GO:0043524; GO:0043565; GO:0061030; GO:0061374; GO:0061377; GO:0061379; GO:0061381; GO:1990837
LOC105324613	1	GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0016021; GO:0030428; GO:0061063; GO:0071944
LOC105335795	4	NA
LOC105329519	11	GO:0005737; GO:0005874; GO:0036157; GO:0036158; GO:0043014; GO:0045504
LOC105336795	7	GO:0000981; GO:0003677; GO:0005634
LOC105330091	14	GO:0004031; GO:0004497; GO:0004499; GO:0005789; GO:0005829; GO:0006629; GO:0006805; GO:0016021; GO:0050660; GO:0050661; GO:0070995; GO:0090181; GO:0106294
LOC105318132	13	GO:0000055; GO:0000056; GO:0000774; GO:0003714; GO:0005634; GO:0005635; GO:0005643; GO:0006607; GO:0006611; GO:0006913; GO:0016973; GO:0017056; GO:0031965; GO:0044613; GO:0044614; GO:0051664; GO:0061912; GO:0097064
LOC105330266	1	GO:0001775; GO:0005125; GO:0005576; GO:0005615; GO:0007155; GO:0007626; GO:0008285; GO:0010839; GO:0030336; GO:0030549; GO:0038195; GO:0050884; GO:0070062
LOC105334607	8	GO:0000722; GO:0000724; GO:0000775; GO:0000781; GO:0000803; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0006974; GO:0007059; GO:0016605; GO:0016607; GO:0016887; GO:0018393; GO:0019827; GO:0030054; GO:0030261; GO:0030915; GO:0034184; GO:0035061; GO:0035861; GO:0044772; GO:0051301; GO:0051984; GO:0071459; GO:0090398
LOC105341338	3	GO:0004714; GO:0005007; GO:0005524; GO:0005887; GO:0006915; GO:0007169; GO:0008284; GO:0017134; GO:0033674; GO:0043235; GO:0043410; GO:1902036
LOC105342811	3	GO:0002780; GO:0030246; GO:0042742
LOC105346311	7	GO:0001917; GO:0002141; GO:0002142; GO:0005518; GO:0005576; GO:0005604; GO:0005737; GO:0007601; GO:0007605; GO:0009887; GO:0009888; GO:0016021; GO:0016324; GO:0016477; GO:0017022; GO:0032391; GO:0032421; GO:0034446; GO:0035315; GO:0036064; GO:0042491; GO:0042802; GO:0045184; GO:0045494; GO:0048496; GO:0050896; GO:0050953; GO:0051649; GO:0060113; GO:0060171; GO:1990075; GO:1990696
LOC105345931	4	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0002052; GO:0003677; GO:0003700; GO:0005634; GO:0005886; GO:0005938; GO:0006357; GO:0007399; GO:0007402; GO:0007405; GO:0007406; GO:0007409; GO:0007411; GO:0007416; GO:0007417; GO:0007420; GO:0007422; GO:0007465; GO:0008049; GO:0008104; GO:0008285; GO:0010001; GO:0010468; GO:0010628; GO:0010629; GO:0014016; GO:0043565; GO:0043697; GO:0045165; GO:0045179; GO:0045180; GO:0045664; GO:0045676; GO:0045944; GO:0048813; GO:0050771; GO:0050909; GO:0051090; GO:0055059; GO:0055060; GO:0060385; GO:0061564; GO:0070314; GO:0070983; GO:1900180; GO:1902692
LOC105317802	11	GO:0005509
LOC105345100	14	GO:0003774; GO:0003777; GO:0005524; GO:0005874; GO:0005875; GO:0005930; GO:0007018; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959
LOC105321187	12	GO:0001518; GO:0005244; GO:0005248; GO:0005887; GO:0006812; GO:0006813; GO:0006814; GO:0015871; GO:0019228; GO:0030424; GO:0034765; GO:0035725; GO:0086010; GO:0100001
LOC105333922	4	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005730; GO:0006357; GO:0008301; GO:0009653; GO:0009792; GO:0030154; GO:0042472; GO:0043231; GO:0043565; GO:0045944; GO:1990837
LOC105333915	10	GO:0000182; GO:0000785; GO:0003416; GO:0005634; GO:0005654; GO:0006355; GO:0043586; GO:0046872; GO:0060021; GO:0060485
LOC117689456	6	NA
LOC105341333	5	GO:0000978; GO:0000981; GO:0002074; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0006915; GO:0014857; GO:0021984; GO:0043282; GO:0045892; GO:0048741; GO:0048839; GO:0048935; GO:0051146
LOC105340122	8	GO:0000285; GO:0000329; GO:0005524; GO:0005739; GO:0010008; GO:0010511; GO:0016310; GO:0032266; GO:0046854; GO:0046872; GO:0070772; GO:1903100
LOC105338883	11	GO:0001534; GO:0001535; GO:0003341; GO:0005654; GO:0005730; GO:0005929; GO:0005930; GO:0035082; GO:0060294; GO:0062177; GO:0120221
LOC105328118	10	GO:0000977; GO:0000981; GO:0003322; GO:0005634; GO:0006357; GO:0021537; GO:0021539; GO:0021794; GO:0048484; GO:0048666
LOC105328118	4	GO:0000977; GO:0000981; GO:0003322; GO:0005634; GO:0006357; GO:0021537; GO:0021539; GO:0021794; GO:0048484; GO:0048666
LOC105318644	13	NA
LOC117689486	12	GO:0005794; GO:0007214; GO:0016567; GO:0030431; GO:0046580; GO:0070328; GO:0070875
LOC105340345	14	GO:0004801; GO:0005737; GO:0005975; GO:0006098; GO:0016832
LOC105328490	13	GO:0005509; GO:0005829; GO:0005886; GO:0005905; GO:0006895; GO:0006897; GO:0015031; GO:0016197; GO:0016235; GO:0017124; GO:0019065; GO:0030122; GO:0030132; GO:0030136; GO:0031593; GO:0031901; GO:0032880; GO:0042802; GO:0043231; GO:0046718; GO:0048268; GO:0060170
LOC105337859	9	GO:0001525; GO:0003924; GO:0005525; GO:0005886; GO:0006897; GO:0007163; GO:0008360; GO:0010594; GO:0030036; GO:0032488; GO:0061299; GO:0070062; GO:0090050; GO:1903670
LOC105339545	3	GO:0000050; GO:0004053; GO:0006525; GO:0046872
LOC105320196	1	GO:0005509; GO:0005576; GO:0005783; GO:0005793; GO:0005794; GO:0007420; GO:0015031; GO:0016192; GO:0019752; GO:0060548
LOC105343814	1	GO:0003729; GO:0003743; GO:0016281
LOC105319105	8	GO:0000775; GO:0003677; GO:0005634; GO:0007049; GO:0051301
LOC105339284	12	GO:0005615; GO:0005654; GO:0005813; GO:0005814; GO:0005829; GO:0006281; GO:0007049; GO:0051301; GO:0060271; GO:0097539
LOC105344501	12	GO:0000122; GO:0001503; GO:0002158; GO:0002548; GO:0005125; GO:0005164; GO:0005576; GO:0005615; GO:0005737; GO:0005886; GO:0005887; GO:0006955; GO:0007249; GO:0007254; GO:0010628; GO:0019221; GO:0019722; GO:0030316; GO:0032813; GO:0033209; GO:0033598; GO:0034112; GO:0036035; GO:0038001; GO:0042802; GO:0043123; GO:0043406; GO:0043491; GO:0044691; GO:0045453; GO:0045672; GO:0045780; GO:0045944; GO:0046330; GO:0050870; GO:0051091; GO:0051092; GO:0051466; GO:0051897; GO:0055074; GO:0060749; GO:0070371; GO:0071812; GO:0071847; GO:0071848; GO:1902533; GO:1904616; GO:1990830; GO:2001206
LOC105339352	10	GO:0003677; GO:0005634; GO:0007399; GO:0014029; GO:0046872
LOC105339354	10	GO:0001840; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0014029; GO:0014033; GO:0014034; GO:0016055; GO:0021904; GO:0022008; GO:0030177; GO:0042307; GO:0045893; GO:0045944; GO:0046872
LOC105348069	4	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0005737; GO:0006355; GO:0009653; GO:0016360; GO:0030154; GO:0030900; GO:0043565; GO:0045165; GO:0045665; GO:0045893; GO:0045944; GO:0048839
LOC105320997	5	GO:0005509; GO:0016459
LOC105334836	2	GO:0001822; GO:0001972; GO:0004497; GO:0005506; GO:0005789; GO:0006766; GO:0006805; GO:0008401; GO:0016125; GO:0016491; GO:0016709; GO:0019825; GO:0020037; GO:0032526; GO:0033189; GO:0034653; GO:0042573; GO:0048387; GO:0062182; GO:0062183
LOC105317061	5	GO:0005509; GO:0016459
LOC117689752	1	GO:0004339; GO:0004553; GO:0004558; GO:0005975; GO:0016021; GO:0030246
LOC117689753	1	GO:0004045; GO:0005737; GO:0006412
LOC105344530	9	GO:0005886; GO:0016021; GO:0022857
LOC105344238	13	NA
LOC105346676	8	GO:0003676; GO:0005634; GO:0007049; GO:0051301
LOC105335285	3	GO:0003831; GO:0006491; GO:0016021; GO:0032580; GO:0035250; GO:0042125; GO:0043229; GO:0046872
LOC105325626	7	GO:0008168; GO:0008757; GO:0071704
LOC105343313	1	GO:0000148; GO:0003843; GO:0005628; GO:0005886; GO:0005935; GO:0006075; GO:0008360; GO:0016021; GO:0030476; GO:0046527; GO:0051278; GO:0071944
LOC105328983	2	GO:0004089; GO:0005886; GO:0006730; GO:0008270; GO:0016021; GO:0016836
LOC105349033	8	GO:0016740
LOC117689669	1	GO:0003700; GO:0005634; GO:0030435; GO:0048315
LOC105342064	1	GO:0003700; GO:0005634; GO:0030435; GO:0048315
LOC105347548	9	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008284; GO:0021854; GO:0030154; GO:0030855; GO:0035050; GO:0043066; GO:0043586; GO:0045944; GO:0048565; GO:0050673; GO:0050679; GO:0055014; GO:0055015; GO:0060037; GO:0060039; GO:1904019; GO:1904036
LOC105322816	13	GO:0000139; GO:0007517; GO:0008045; GO:0008146; GO:0016021; GO:0016051; GO:0030166; GO:0030206; GO:0047756
LOC117690118	13	GO:0005080; GO:0005634; GO:0005737; GO:0005923; GO:0005938; GO:0007098; GO:0007155; GO:0007163; GO:0007338; GO:0007369; GO:0007506; GO:0008406; GO:0009949; GO:0016021; GO:0016324; GO:0030154; GO:0031267; GO:0040001; GO:0043186; GO:0051301; GO:0060341
LOC105338658	4	NA
LOC105337598	7	GO:0002141; GO:0002142; GO:0005634; GO:0005654; GO:0005886; GO:0005929; GO:0007605; GO:0032420; GO:0032426; GO:0042802; GO:0045184; GO:0050910; GO:0051649; GO:0060088; GO:0060113; GO:0060117; GO:1990696
LOC105339321	4	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001707; GO:0001708; GO:0001947; GO:0003205; GO:0005634; GO:0006357; GO:0007417; GO:0007501; GO:0008284; GO:0010977; GO:0014043; GO:0023019; GO:0032525; GO:0043433; GO:0045944; GO:0061629; GO:1990837
LOC105335804	11	
LOC109617263	13	NA
LOC105334650	11	GO:0001664; GO:0002177; GO:0003779; GO:0005739; GO:0005829; GO:0005879; GO:0005929; GO:0007286; GO:0008104; GO:0030544; GO:0031072; GO:0031625; GO:0031982; GO:0034620; GO:0043005; GO:0043014; GO:0044297; GO:0048487; GO:0051087; GO:0051879; GO:0060548; GO:0097225
LOC105339630	14	GO:0000122; GO:0000976; GO:0005634; GO:0005667; GO:0005700; GO:0006334; GO:0006338; GO:0006355; GO:0007307; GO:0007346; GO:0007379; GO:0016573; GO:0016575; GO:0016581; GO:0016589; GO:0031497; GO:0031507; GO:0031523; GO:0033186; GO:0034728; GO:0035097; GO:0035098; GO:0042393; GO:0042803; GO:0042826; GO:0045892; GO:0045893; GO:0070822; GO:0140718
LOC105347694	13	GO:0005524; GO:0005886; GO:0055085
LOC105324198	5	GO:0001662; GO:0005234; GO:0005886; GO:0005887; GO:0006874; GO:0007215; GO:0007268; GO:0008066; GO:0014069; GO:0015276; GO:0015277; GO:0019228; GO:0032983; GO:0035249; GO:0038023; GO:0042734; GO:0043025; GO:0043524; GO:0045211; GO:0048169; GO:0048172; GO:0050804; GO:0050806; GO:0051402; GO:0051967; GO:0060080; GO:0070161; GO:0098686; GO:0098978; GO:0099171; GO:0099507; GO:0120169; GO:1904315
LOC105332320	12	GO:0004970; GO:0005234; GO:0016021; GO:0045211; GO:0070161; GO:0120169
LOC105330685	7	GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0005886; GO:0014059; GO:0016021; GO:0016192; GO:0017156; GO:0017158; GO:0019905; GO:0030276; GO:0030672; GO:0046928; GO:0048792; GO:0060291; GO:0070161; GO:0070382; GO:0071277; GO:0098686
LOC105337048	12	GO:0001843; GO:0003139; GO:0003148; GO:0003223; GO:0005509; GO:0005905; GO:0006898; GO:0007605; GO:0008584; GO:0009897; GO:0016021; GO:0016324; GO:0017124; GO:0030001; GO:0030424; GO:0030425; GO:0030514; GO:0031526; GO:0031904; GO:0043235; GO:0050769; GO:0051087; GO:0060068; GO:0060982; GO:0061156; GO:0070447; GO:0140058; GO:1904447; GO:1905167
LOC105332808	10	GO:0005634; GO:0005737; GO:0016491; GO:0070728; GO:1901031; GO:1904262
LOC105348692	4	GO:0000139; GO:0001736; GO:0001737; GO:0004672; GO:0004674; GO:0005615; GO:0005737; GO:0005886; GO:0006468; GO:0007219; GO:0007267; GO:0007446; GO:0007474; GO:0016021; GO:0016055; GO:0016348; GO:0017147; GO:0035159; GO:0042067; GO:0043393; GO:0090175; GO:0106310
LOC105324157	13	GO:0005737; GO:0005886; GO:0016021
LOC105347667	11	GO:0005737; GO:0005829; GO:0005930; GO:0031514; GO:0036126; GO:0051082; GO:0051085; GO:0051087; GO:0097224; GO:1904158
LOC105336078	3	GO:0004497; GO:0004499; GO:0005789; GO:0006082; GO:0006739; GO:0006805; GO:0009404; GO:0016020; GO:0016021; GO:0046322; GO:0050660; GO:0050661; GO:0070995; GO:0072592; GO:0097009
LOC105344573	11	GO:0005737
LOC117691246	7	NA
LOC105345330	8	GO:0000070; GO:0000281; GO:0000775; GO:0000776; GO:0005634; GO:0005721; GO:0005737; GO:0005819; GO:0005874; GO:0007059; GO:0016572; GO:0030496; GO:0032133; GO:0032991; GO:0043539; GO:0051257; GO:0051310; GO:0071902; GO:1902412; GO:1990385
LOC105326826	7	GO:0005737; GO:0005868; GO:0007018; GO:0045505
LOC105326827	6	GO:0001640; GO:0001932; GO:0002029; GO:0004930; GO:0005737; GO:0005886; GO:0005887; GO:0006355; GO:0006417; GO:0006448; GO:0006468; GO:0007205; GO:0007206; GO:0007216; GO:0007268; GO:0007611; GO:0007612; GO:0007626; GO:0008066; GO:0030296; GO:0031687; GO:0035584; GO:0040013; GO:0042802; GO:0043197; GO:0043198; GO:0043410; GO:0048170; GO:0050808; GO:0050890; GO:0051966; GO:0061098; GO:0097449; GO:0098685; GO:0098839; GO:0098978; GO:0099055; GO:0099170; GO:0099530; GO:0099553; GO:0099583; GO:1902938; GO:1904646; GO:1990782
LOC105334847	10	
LOC117691704	9	GO:0005576
LOC105320766	7	NA
LOC105324965	14	GO:0000228; GO:0003677; GO:0003712; GO:0003713; GO:0005634; GO:0006338; GO:0006357; GO:0016514; GO:0035060; GO:0071564; GO:0071565
LOC105332313	10	GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001525; GO:0001889; GO:0001935; GO:0002639; GO:0003700; GO:0005634; GO:0005737; GO:0005783; GO:0005789; GO:0006511; GO:0006915; GO:0006990; GO:0007517; GO:0010506; GO:0016021; GO:0030154; GO:0031490; GO:0031648; GO:0034976; GO:0035356; GO:0042149; GO:0042632; GO:0043066; GO:0045348; GO:0045579; GO:0045582; GO:0045600; GO:0045944; GO:0046982; GO:0055089; GO:0055092; GO:0060612; GO:0071222; GO:0071230; GO:0071353; GO:0071375; GO:0071498; GO:0071499; GO:1900100; GO:1903489; GO:1990418; GO:2000347
